Game,Score,Steps,Epsilon
575,42,975,0
576,36,727,0
577,53,1203,0
578,58,1451,0
579,71,1629,0
580,84,2071,0
581,41,1018,0
582,30,639,0
583,61,1439,0
584,45,1090,0
585,63,1482,0
586,58,1488,0
587,78,1740,0
588,60,1382,0
589,36,825,0
590,38,845,0
591,41,956,0
592,68,1430,0
593,53,1253,0
594,79,2109,0
595,75,1783,0
596,63,1521,0
597,96,3031,0
598,119,3797,0
599,34,694,0
600,63,1403,0
601,80,1866,0
602,31,707,0
603,62,1439,0
604,44,1030,0
605,73,1908,0
606,62,1674,0
607,48,1191,0
608,66,1537,0
609,70,1702,0
610,43,964,0
611,99,2746,0
612,58,1254,0
613,32,544,0
614,92,2668,0
615,77,1936,0
616,37,742,0
617,71,1869,0
618,70,2109,0
619,81,2363,0
620,65,1482,0
621,49,1091,0
622,80,1772,0
623,83,2583,0
624,51,968,0
625,65,1656,0
626,63,1527,0
627,68,1704,0
628,63,1567,0
629,52,1196,0
630,76,2417,0
631,93,2768,0
632,65,1712,0
633,70,1706,0
634,70,1708,0
635,50,1133,0
636,63,1423,0
637,37,796,0
638,57,1248,0
639,54,1276,0
640,82,2131,0
641,33,735,0
642,62,1555,0
643,74,2562,0
644,31,702,0
645,32,658,0
646,71,1747,0
647,64,1512,0
648,83,1907,0
649,69,1589,0
650,71,1771,0
651,40,943,0
652,51,1040,0
653,59,1337,0
654,69,1725,0
655,62,1457,0
656,85,2021,0
657,61,1507,0
658,109,3746,0
659,49,1340,0
660,54,1262,0
661,95,2734,0
662,50,1033,0
663,48,1029,0
664,74,2130,0
665,116,3647,0
666,71,1998,0
667,63,1448,0
668,29,558,0
669,67,1582,0
670,77,2025,0
671,66,1727,0
672,60,1412,0
673,56,1170,0
674,74,1811,0
675,43,951,0
676,75,1839,0
677,77,2064,0
678,58,1482,0
679,87,2111,0
680,66,1575,0
681,47,1126,0
682,44,883,0
683,31,737,0
684,33,745,0
685,60,1328,0
686,70,1715,0
687,93,2223,0
688,71,1515,0
689,21,359,0
690,63,1438,0
691,62,1447,0
692,74,1960,0
693,48,1264,0
694,60,1604,0
695,61,1491,0
696,80,2243,0
697,69,1863,0
698,49,1090,0
699,69,1776,0
700,57,1487,0
701,91,2306,0
702,98,2700,0
703,71,1692,0
704,71,1820,0
705,74,1705,0
706,53,1274,0
